,id,Text,label,etc,Score
0,68089309-7295,"	This seems like a weird check, why is needed?  Is so we don't put the zip code into `anchor_data[KEY.STATE]`",NU,,[-1.]
1,68057873-7287,"	I don't understand why we are using vdatastore stuff in this model instead of making a vobject in the vobject lib and inheriting from that",NU,,[-1.]
2,67775805-7282,"	Seems like we can move the construction of `test_facebook_post` to the setup and just change the `postedDateTime` before the put.",NU,,[0.]
3,67755524-7281,"	I'd remove the default here if we expect this to always have a value. Better than providing an empty string where we wouldn't want one.",NU,,[0.]
4,67759066-7281,"	+1 this will fail with a cryptic error: ``` >>> ""{}{}"".format("""") Traceback (most recent call last):   File ""<stdin>"", line 1, in <module> IndexError: tuple index out of range ```",NU,,[0.]
5,67712055-7279,"	Were we wanting to change the SDK files?",NU,,[0.]
6,67713988-7279,"	they will just get overwritten but it is all just doc string changes anyway",NU,,[0.]
7,67717397-7279,"	Fair!",NU,,[0.]
8,67719415-7279,"	I would revert this file. It'll be confusing to the next person who generates the SDK when they have 18 lines they didn't know were changes.",NU,,[-1.]
9,67719620-7279,"	This is literally the 1 line that matters.",NU,,[0.]
10,67551641-7275,"	Good job on a descriptive tag!",NU,,[0.]
11,67551826-7275,"	You aren't passing any arguments to your deferred function.",NU,,[0.]
12,67551931-7275,"	It would save effort to do this check before the defer.",NU,,[0.]
13,67552369-7275,"	yeah.. I messed up hehe. I was in a bit of a rush",NU,,[0.]
14,68099888-7275,"	I really like how you encapsulate this ?",NU,,[0.]
15,68100273-7275,"	?",NU,,[0.]
16,67538347-7272,"	do we want to have a retry limit?",NU,,[0.]
17,67539105-7272,"	or a min-backoff? or something?",NU,,[0.]
18,67375087-7266,"	The docs state >Note that for very large time intervals (greater than 270 years on most platforms) this method will lose microsecond accuracy.  So, just be aware.",NU,,[0.]
19,67215488-7259,"	could be  ```python bad_attributes = [attr for attr in data.iterkeys() if attr not in self.ATTRIBUTES] ```",NU,,[0.]
20,67216067-7259,"	or `set(data.iterkeys()) - set(self.ATTRIBUTES)`  C-OK",NU,,[0.]
21,67057626-7253,"	Is there any concern that a user will auth their account after exponential backoff has ramped up. Resulting in not updating the reach quickly after authenticating?",NU,,[0.]
22,67023382-7251,"	This test will past regardless of the value of the status code we put here",NU,,[0.]
23,66846012-7241,"	SDK should not be in this PR  Try not to generate the SDK until new endpoints are on master.",NU,,[0.]
24,66847413-7241,"	I'll disagree here. You need to functionally test your endpoint both as a rest call, and through the sdk. You shouldn't release your sdk to VPM until the endpoints are on prod (which is what I think Brad is really getting at), but there is no reason to avoid generating it, testing with it, and getting it PR'd beforehand.",NU,,[0.]
25,66848743-7241,"	@ckurz-va Generating it and merging it into develop will cause merge conflicts for anyone who is simultaneously adding new endpoints to be added to the SDK when they are based off master.  Not the end of the world but something I like to avoid.",NU,,[0.]
26,66856186-7241,"	It's a very simple process to manage that conflict, (Pull master into branch, regen sdk, confirm your expected changes are still there) and exposes maybe people need to chat to make sure version numbers are incrementing correctly.  I personally like merge conflicts when people are working in the same space so conversations happen. As long as the merge conflict isn't spawning a TON of new work. Plus with a PR out, people who are watching the repo, which should include people currently working in the repo, will notice another team adding an endpoint, and can start the conversation on collaborating the vpm release and such before things get to master.",NU,,[0.]
27,66867849-7241,"	is this the only place we're getting permissions and storing them? Like even on newly created FB Users we're not saving permissions?",NU,,[0.]
28,66868117-7241,"	Also isn't there a `FacebookUserService.fetchSocialPermissions` method?",NU,,[-1.]
29,66830183-7240,"	If we are just storing these in CS is there any reason to use `vobject` and `vdatastore`? Why not just use `ndb.Model`?",NU,,[0.]
30,66830290-7240,"	If you are just returning the class name I don't think it is necessary to implement this method.",NU,,[-1.]
31,66831414-7240,"	Why not just make this is a JsonProperty if that is what we are storing? Also are we using this for anything or storing it ""just to have""?",NU,,[-1.]
32,66641991-7229,"	why the key change?",NU,,[0.]
33,66642550-7229,"	what's the `/` for in this string?  It's not a typo?",NU,,[-1.]
34,66800355-7226,"	So we have 3 different apis we have to use to interact with Infogroup? Ugh.",NU,,[0.]
35,66498659-7221,"	?",NU,,[0.]
36,66509364-7221,"	Sometimes you have to be extra sure",NU,,[0.]
37,66509896-7220,"	I don't think we need this, do we?",NU,,[-1.]
38,66511065-7220,"	Normally no but this Url Spider is doing batching like the Listing Spiders so we needed to include it here as well.",NU,,[0.]
39,66511829-7220,"	Ah okay, I wasn't sure if this was because of the batching or just an accident. Sounds good!",NU,,[0.]
40,66161493-7208,"	You mean `Unescapable, assuming due to '\' in review.` right?",NU,,[0.]
41,66160792-7200,"	why caplocks in the middle?",NU,,[0.]
42,66265868-7200,"	Should this go with the global_sources_dict spreadsheet?",NU,,[0.]
43,66267554-7200,"	Why are we filtering listings that belong to the account_group and to the partner? Shouldn't the account_group_id be sufficient?",NU,,[-1.]
44,66271913-7200,"	why are we shortening the import? Makes it more confusing in code later.",NU,,[-1.]
45,66272638-7200,"	Do we want to protect from a large number of input docs? I can't remember the max number of entities that can be in a put_multi, but 1-1 with the input doc list could cause errors if a crazy amount of docs are pushed in.",NU,,[0.]
46,66319830-7200,"	Where does this value of 290 come from? Some explanation should be here in the code.",NU,,[0.]
47,66326984-7200,"	The origin of it is some formula like: Phone number = 50 marks Company Name = 50 marks address = 30 city = 10 state = 10 ...  Or something like that.",NU,,[0.]
48,66343633-7200,"	I think you're going to need these scores to factor HyperLocalListings into the equation",NU,,[0.]
49,66366292-7200,"	Sooooo nitpicky: can you pluralize ""account group"" in the docstring?",NU,,[0.]
50,66367988-7200,"	I'm pretty sure it enforces some magic (or at least it used to) while converting to and from ""domain objects"" (ie `Listing` vs `ListingModel`).",NU,,[0.]
51,66454836-7200,"	What's this for?",NU,,[0.]
52,66152684-7198,"	?",NU,,[0.]
53,66654628-7197,"	probably want to unit test these cases with entities where `socialPost.isError` is a factor",NU,,[0.]
54,65715858-7187,"	Should we also be supporting `YAY`? ![yay](https://github.com/vendasta/SM/blob/develop/src/static/images/reaction-icons/yay.png)",NU,,[0.]
55,65716351-7187,"	Nevermind http://heavy.com/tech/2016/02/yay-facebook-reactions-missing-where-why-dislike-confused-rejected-photos/",NU,,[0.]
56,65595297-7184,"	regarding the above comment: these definitely originated from the Urbanspoon migration",NU,,[0.]
57,65269489-7175,"	Why is `data.get('country')` passed in twice?",NU,,[0.]
58,65121893-7169,"	kind of boggles my mind that this test class is a child of `GaeTestCase`. I understand the word `integration` is in the class name, and if this is testing anything valuable and appengine related, maybe we keep a few, but all the cases in this class seem like perfect candidates for pure unit testing?",NU,,[0.]
