id,Text,label,Score
68087996-7295, I'm not sure you need to do `len(location) > 0`  I think `location[0] if location else None` will work the same since an empty list if a falsy value.,U,[-1.]
68088530-7295,"	I think here you could write  ``` if location:    self._parse_state_and_zip(location[0], anchor_data) ``` and then get rid of `state_and_zip = location[0] if len(location) > 0 else None`",U,[0.]
68088660-7295,	This could be an `elif`.,U,[0.]
68089778-7295,"	I think this could be made more generic to the length of `address_city_list`, but feel free to discuss. I'm thinking something like: ``` if address_city_list:     anchor_data[KEY.CITY] = unicode(address_city_list[-1]).strip()     anchor_data[KEY.ADDRESS] = unicode("","".join(address_city_list[:-1])) ``` Thoughts?",U,[0.]
68089923-7295,	Do you want a space after the comma?,U,[0.]
68090252-7295,"	We also have the same or similar code in both if statements.  We could potentially write  ``` if len(address_city_list) > 1:  # City and address outside of span     anchor_data[KEY.CITY] = unicode(address_city_list[1]).strip()     anchor_data[KEY.ADDRESS] = unicode(address_city_list[0]) if len(address_city_list) > 2:    anchor_data[KEY.ADDRESS] += "","" + unicode(address_city_list[1]) ```  but I'm not sure if this reads as clearly as just doing and `elif` statement.",U,[0.]
68091027-7295,"	I've also proposed a solution to this, and I think either would be fine. One thing to note is you need to be getting the city from `address_city_list[-1]`.",U,[0.]
67884106-7287,	No need to put required=False for these. That's the default.,U,[0.]
67884488-7287,	We'll need the instagram account id.,U,[0.]
67884826-7287,	This type of key construction makes it impossible to have multiple Instagram accounts for one Account group. I know there's no use case right now for storing multiple Instagram accounts but I don't think we should build in that limitation. Maybe I'm just being paranoid though.,U,[-1.]
67885117-7287,	I'm not sure how useful this will be. We're always going to request all the permissions that our app is approved for.,U,[-1.]
67885545-7287,	Permissions should be a repeated field. https://www.instagram.com/developer/authorization/,U,[0.]
67766240-7282,	should that 7 be a kwarg with default 7? Will allow us to override the call.,U,[0.]
67767400-7282,	If you're mocking the put do you need VGaeTestCase?,U,[0.]
67767851-7282,"	Instead of asserting the count is 1, perhaps you could assert that you get the proper post back. self.assertEqual(result, [test_facebook_post])   You wont be able to reuse that variable name though.",U,[0.]
67768705-7282,"	Perhaps also self.assertIsInstance(result, list)",U,[0.]
67755929-7281,	Could this be a more descriptive name? I assume the `blocker` bit was due to the issue type and not the test case,U,[0.]
67759692-7281,	also +1 This test name won't mean anything in a month,U,[0.]
