class,RE,RENL,SWR,SKR,QR,CER,CS,ACF,CT,TAC,RT,RCF,TRC,RP,ExtLib,Sentiment,id,comment_text
u,79.85387096774194,100.0,0.3902439024390244,0.4146341463414634,0.0,0.4878048780487805,0.4490132550669372,0,0,94,1,5,73,20,0.4549484800017944,0,68087996-7295, I'm not sure you need to do `len(location) > 0`  I think `location[0] if location else None` will work the same since an empty list if a falsy value.
u,87.54204545454546,100.0,0.32,0.34,0.0,0.78,0.5114771692875646,0,0,94,1,5,73,20,0.4549484800017944,1,68088530-7295,"	I think here you could write  ``` if location:    self._parse_state_and_zip(location[0], anchor_data) ``` and then get rid of `state_and_zip = location[0] if len(location) > 0 else None`"
u,100.0,100.0,0.5,0.6666666666666666,0.0,0.3333333333333333,0.1443375672974064,13,1,339,1,16,235,58,0.8161389502042694,1,68088660-7295,	This could be an `elif`.
u,66.40400000000001,100.0,0.2028985507246377,0.2028985507246377,0.5,0.5652173913043478,0.4807619738204116,13,1,339,1,16,235,58,0.8161389502042694,1,68089778-7295,"	I think this could be made more generic to the length of `address_city_list`, but feel free to discuss. I'm thinking something like: ``` if address_city_list:     anchor_data[KEY.CITY] = unicode(address_city_list[-1]).strip()     anchor_data[KEY.ADDRESS] = unicode("","".join(address_city_list[:-1])) ``` Thoughts?"
u,100.0,100.0,0.5,0.5,1.0,0.125,0.0,13,1,339,1,16,235,58,0.8161389502042694,1,68089923-7295,	Do you want a space after the comma?
u,49.0269230769231,87.39927419354841,0.2327586206896551,0.2413793103448276,0.0,0.7155172413793104,0.4990655167826102,0,0,94,1,5,73,20,0.4549484800017944,1,68090252-7295,"	We also have the same or similar code in both if statements.  We could potentially write  ``` if len(address_city_list) > 1:  # City and address outside of span     anchor_data[KEY.CITY] = unicode(address_city_list[1]).strip()     anchor_data[KEY.ADDRESS] = unicode(address_city_list[0]) if len(address_city_list) > 2:    anchor_data[KEY.ADDRESS] += "","" + unicode(address_city_list[1]) ```  but I'm not sure if this reads as clearly as just doing and `elif` statement."
u,92.77625,95.93928571428572,0.5294117647058824,0.5294117647058824,0.0,0.1176470588235294,0.264197974633739,13,1,339,1,16,235,58,0.8161389502042694,1,68091027-7295,"	I've also proposed a solution to this, and I think either would be fine. One thing to note is you need to be getting the city from `address_city_list[-1]`."
u,100.0,100.0,0.4615384615384615,0.5384615384615384,0.0,0.0769230769230769,0.269069117598525,0,0,304,1,5,164,39,0.0,1,67884106-7287,	No need to put required=False for these. That's the default.
u,100.0,100.0,0.4285714285714285,0.4285714285714285,0.0,0.1428571428571428,0.4364357804719848,7,1,3166,0,0,1480,290,0.4054653794259671,1,67884488-7287,	We'll need the instagram account id.
u,79.75870748299323,79.75870748299323,0.4509803921568627,0.4509803921568627,0.0,0.0196078431372549,0.1832541665344578,7,1,3166,0,0,1480,290,0.4054653794259671,0,67884826-7287,	This type of key construction makes it impossible to have multiple Instagram accounts for one Account group. I know there's no use case right now for storing multiple Instagram accounts but I don't think we should build in that limitation. Maybe I'm just being paranoid though.
u,99.48,99.48,0.68,0.68,0.0,0.04,0.2333800140046683,7,1,3166,0,0,1480,290,0.4054653794259671,0,67885117-7287,	I'm not sure how useful this will be. We're always going to request all the permissions that our app is approved for.
u,39.55500000000001,39.55500000000001,0.3076923076923077,0.3076923076923077,0.0,0.0769230769230769,0.0,0,0,304,1,5,164,39,0.0,1,67885545-7287,	Permissions should be a repeated field. https://www.instagram.com/developer/authorization/
u,100.0,100.0,0.4210526315789473,0.4210526315789473,0.5,0.0526315789473684,0.1386750490563073,0,0,174,1,12,280,39,0.0,1,67766240-7282,	should that 7 be a kwarg with default 7? Will allow us to override the call.
u,100.0,100.0,0.7,0.7,1.0,0.1,0.3061862178478973,0,0,174,1,8,280,39,0.0,1,67767400-7282,	If you're mocking the put do you need VGaeTestCase?
u,65.3308823529412,65.3308823529412,0.45,0.475,0.0,0.025,0.4586824722938629,0,0,174,1,8,280,39,0.0,1,67767851-7282,"	Instead of asserting the count is 1, perhaps you could assert that you get the proper post back. self.assertEqual(result, [test_facebook_post])   You wont be able to reuse that variable name though."
u,17.44500000000002,17.44500000000002,0.2857142857142857,0.2857142857142857,0.0,0.1428571428571428,0.7745966692414834,0,0,174,1,8,280,39,0.0,1,67768705-7282,"	Perhaps also self.assertIsInstance(result, list)"
u,100.0,100.0,0.5,0.5,0.5,0.0769230769230769,0.093048421039847,0,0,2387,1,3,1413,209,0.0,1,67755929-7281,	Could this be a more descriptive name? I assume the `blocker` bit was due to the issue type and not the test case
u,100.0,100.0,0.3571428571428571,0.3571428571428571,0.0,0.0714285714285714,0.1482498633322202,0,0,3166,1,2,1480,290,0.5165951366263566,1,67759692-7281,	also +1 This test name won't mean anything in a month
u,100.0,100.0,0.7142857142857143,0.7142857142857143,0.0,0.1428571428571428,0.2254702063980669,0,0,31,0,0,9,3,0.0,1,67712098-7279,	Presence builder is in the first line
u,100.0,100.0,0.4285714285714285,0.4285714285714285,1.0,0.1428571428571428,0.2041241452319314,2,1,7098,0,0,439,46,0.0873570697268265,0,67604518-7277,	This is in vtest isn't it?
u,100.0,100.0,0.1,0.1,0.0,0.1,0.0,2,1,7098,0,0,439,46,0.0873570697268265,1,67772292-7277,	https://github.com/vendasta/VA-vtest/pull/65/files
