class,RE,RENL,SWR,SKR,QR,CER,CS,ACF,CT,TAC,RT,RCF,TRC,RP,ExtLib,Sentiment,id
u,79.85387096774194,100.0,0.3902439024390244,0.4146341463414634,0.0,0.4878048780487805,0.44901325506693723,0,0,94,1,5,73,20,0.45494848000179444,0,68087996-7295
u,87.54204545454546,100.0,0.32,0.34,0.0,0.78,0.5114771692875646,0,0,94,1,5,73,20,0.45494848000179444,1,68088530-7295
u,100.0,100.0,0.5,0.6666666666666666,0.0,0.3333333333333333,0.14433756729740646,13,1,339,1,16,235,58,0.8161389502042694,1,68088660-7295
u,66.40400000000001,100.0,0.2028985507246377,0.2028985507246377,0.5,0.5652173913043478,0.4807619738204116,13,1,339,1,16,235,58,0.8161389502042694,1,68089778-7295
u,100.0,100.0,0.5,0.5,1.0,0.125,0.0,13,1,339,1,16,235,58,0.8161389502042694,1,68089923-7295
u,49.0269230769231,87.39927419354841,0.23275862068965517,0.2413793103448276,0.0,0.7155172413793104,0.4990655167826102,0,0,94,1,5,73,20,0.45494848000179444,1,68090252-7295
u,92.77625,95.93928571428573,0.5294117647058824,0.5294117647058824,0.0,0.11764705882352941,0.264197974633739,13,1,339,1,16,235,58,0.8161389502042694,1,68091027-7295
u,100.0,100.0,0.46153846153846156,0.5384615384615384,0.0,0.07692307692307693,0.26906911759852503,0,0,304,1,5,164,39,0.0,1,67884106-7287
u,100.0,100.0,0.42857142857142855,0.42857142857142855,0.0,0.14285714285714285,0.4364357804719848,7,1,3166,0,0,1480,290,0.4054653794259671,1,67884488-7287
u,79.75870748299323,79.75870748299323,0.45098039215686275,0.45098039215686275,0.0,0.0196078431372549,0.18325416653445784,7,1,3166,0,0,1480,290,0.4054653794259671,0,67884826-7287
u,99.48,99.48,0.68,0.68,0.0,0.04,0.23338001400466832,7,1,3166,0,0,1480,290,0.4054653794259671,0,67885117-7287
u,39.55500000000001,39.55500000000001,0.3076923076923077,0.3076923076923077,0.0,0.07692307692307693,0.0,0,0,304,1,5,164,39,0.0,1,67885545-7287
u,100.0,100.0,0.42105263157894735,0.42105263157894735,0.5,0.05263157894736842,0.1386750490563073,0,0,174,1,12,280,39,0.0,1,67766240-7282
u,100.0,100.0,0.7,0.7,1.0,0.1,0.3061862178478973,0,0,174,1,8,280,39,0.0,1,67767400-7282
u,65.3308823529412,65.3308823529412,0.45,0.475,0.0,0.025,0.45868247229386294,0,0,174,1,8,280,39,0.0,1,67767851-7282
u,17.44500000000002,17.44500000000002,0.2857142857142857,0.2857142857142857,0.0,0.14285714285714285,0.7745966692414834,0,0,174,1,8,280,39,0.0,1,67768705-7282
u,100.0,100.0,0.5,0.5,0.5,0.07692307692307693,0.09304842103984709,0,0,2387,1,3,1413,209,0.0,1,67755929-7281
u,100.0,100.0,0.35714285714285715,0.35714285714285715,0.0,0.07142857142857142,0.14824986333222026,0,0,3166,1,2,1480,290,0.5165951366263566,1,67759692-7281
u,100.0,100.0,0.7142857142857143,0.7142857142857143,0.0,0.14285714285714285,0.22547020639806692,0,0,31,0,0,9,3,0.0,1,67712098-7279
u,100.0,100.0,0.42857142857142855,0.42857142857142855,1.0,0.14285714285714285,0.20412414523193148,2,1,7098,0,0,439,46,0.08735706972682654,0,67604518-7277
u,100.0,100.0,0.1,0.1,0.0,0.1,0.0,2,1,7098,0,0,439,46,0.08735706972682654,1,67772292-7277
u,88.72514705882354,100.0,0.3181818181818182,0.36363636363636365,0.0,0.36363636363636365,0.32128773156099955,66,1,3166,1,43,1478,289,0.6557920634651871,1,67552267-7275
u,77.95524528301891,83.68200000000002,0.36507936507936506,0.38095238095238093,0.0,0.07936507936507936,0.2229978693352242,0,0,339,1,7,228,56,0.8452461606070965,1,68092163-7275
u,97.61000000000001,97.61000000000001,0.5957446808510638,0.5957446808510638,0.3333333333333333,0.02127659574468085,0.5447047794019222,2,1,169,1,13,171,45,0.0,1,68100682-7275
u,100.0,100.0,0.45161290322580644,0.45161290322580644,0.0,0.03225806451612903,0.16012815380508716,2,1,169,1,13,171,45,0.0,0,68111721-7275
u,62.79000000000002,62.79000000000002,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,174,1,5,264,34,0.0,1,67203665-7258
u,66.15000000000003,66.15000000000003,0.56,0.56,0.0,0.04,0.15713484026367722,0,0,174,1,5,264,34,0.0,1,67204755-7258
u,75.32035714285716,75.32035714285716,0.5217391304347826,0.5217391304347826,0.5,0.043478260869565216,0.1516196087157807,2,1,3488,1,12,1811,308,0.7270345574943947,1,67190799-7256
u,97.025,97.025,0.5,0.5,0.0,0.25,0.2886751345948129,13,1,1591,1,54,1559,297,0.7398966856649059,1,66885485-7247
u,95.42,100.0,0.3103448275862069,0.3103448275862069,0.0,0.6896551724137931,0.32186034291019205,0,0,86,1,1,136,21,0.0,1,66861164-7243
u,86.70500000000001,100.0,0.5,0.5,0.5,0.2727272727272727,0.2886751345948129,0,0,3166,1,21,1457,286,0.7299678128538737,0,66866875-7241
u,35.60500000000002,35.60500000000002,0.0,0.0,1.0,0.3333333333333333,0.0,0,0,3166,1,21,1457,286,0.7299678128538737,1,66866976-7241
u,75.12117647058825,75.12117647058825,0.5882352941176471,0.5882352941176471,0.0,0.058823529411764705,0.18333969940564224,0,0,3166,1,21,1457,286,0.7299678128538737,0,66867377-7241
u,9.700000000000017,9.700000000000017,0.6666666666666666,0.6666666666666666,0.0,0.1111111111111111,0.36980013081681945,3,1,1591,1,23,1554,296,0.7096114979112342,1,66868823-7241
u,100.0,100.0,0.375,0.375,0.0,0.25,0.1889822365046136,3,1,1591,1,23,1554,296,0.7096114979112342,1,66869952-7241
u,95.93928571428573,95.93928571428573,0.7857142857142857,0.7857142857142857,0.0,0.07142857142857142,0.0,0,0,1591,1,16,1554,296,0.5861895063740489,1,66996580-7241
u,66.74000000000002,74.805,0.4838709677419355,0.4838709677419355,0.5,0.16129032258064516,0.32752023379647754,16,1,695,1,12,367,58,0.4791100270018544,0,66830003-7240
u,92.62750000000001,95.84945652173916,0.5,0.5,0.0,0.1,0.42857142857142855,0,0,695,1,25,367,58,0.4155813868856491,1,66830476-7240
u,44.69666666666669,80.68684210526318,0.2571428571428571,0.2571428571428571,0.0,0.42857142857142855,0.3988620176087328,0,0,695,1,30,367,58,0.7228344106683975,0,66831276-7240
u,81.20666666666669,81.20666666666669,0.6046511627906976,0.6046511627906976,0.3333333333333333,0.023255813953488372,0.2777777777777778,0,0,695,1,25,367,58,0.4155813868856491,0,66831843-7240
u,92.91000000000001,92.9312931034483,0.6363636363636364,0.6363636363636364,0.0,0.06060606060606061,0.21067524290009615,0,0,695,1,30,367,58,0.7228344106683975,0,66832254-7240
u,85.16499999999999,90.09000000000002,0.45,0.45,0.0,0.2,0.28867513459481287,0,0,695,1,15,367,58,0.3402944442696993,1,66832665-7240
u,90.09000000000002,95.93928571428573,0.5294117647058824,0.5294117647058824,0.0,0.11764705882352941,0.2,0,0,695,1,15,367,58,0.3402944442696993,0,66832694-7240
u,100.0,100.0,0.5238095238095238,0.5238095238095238,0.5,0.047619047619047616,0.20851441405707477,0,0,209,0,0,218,53,0.0,0,66848477-7240
u,90.01405172413794,97.7025,0.3170731707317073,0.34146341463414637,1.0,0.5853658536585366,0.4926646390821466,0,0,209,0,0,218,53,0.0,1,66849838-7240
u,62.83022988505749,82.54738095238096,0.42424242424242425,0.42424242424242425,1.0,0.06060606060606061,0.2672612419124244,0,0,209,0,0,218,53,0.0,0,66864266-7240
u,100.0,100.0,0.3333333333333333,0.3333333333333333,0.5,0.047619047619047616,0.29488391230979427,9,1,695,1,4,312,57,0.43601468228166695,0,66802435-7234
u,100.0,100.0,0.42857142857142855,0.42857142857142855,0.0,0.07142857142857142,0.0,45,1,3166,1,32,1430,284,0.8290427242802751,1,66673705-7228
u,100.0,100.0,0.19230769230769232,0.19230769230769232,0.0,0.34615384615384615,0.4923659639173309,45,1,3166,1,32,1430,284,0.8290427242802751,1,66806928-7228
u,35.60500000000002,35.60500000000002,0.0,0.0,0.0,0.5,0.0,0,0,86,1,1,126,20,0.4476527899361498,1,66631712-7226
u,75.50000000000003,75.50000000000003,0.5,0.5,1.0,0.1,0.29095718698132317,0,0,86,1,3,116,18,0.0,1,66479961-7220
u,94.30000000000001,94.30000000000001,0.45454545454545453,0.45454545454545453,0.0,0.09090909090909091,0.11180339887498948,39,1,1591,1,35,1527,294,0.7206155611306313,0,66350371-7219
u,95.93928571428573,95.93928571428573,0.5,0.5,0.0,0.03333333333333333,0.2733040833050606,0,0,174,1,16,216,27,0.0,1,66350479-7219
u,89.51692307692309,89.51692307692309,0.7692307692307693,0.7692307692307693,0.0,0.07692307692307693,0.45184805705753195,0,0,7098,0,0,439,46,0.0,1,66144970-7200
